,id,parent,value,color
0,3D Printing,Technology,157970,3.5278445632837796
1,Academic,Publishing,37670,14.247018251686011
2,Accessories,Fashion,251892,12.335079668487957
3,Animals,Photography,10728,14.05944108374701
4,Animation,Film & Video,333138,13.197461170050367
5,Anthologies,Comics,119136,21.906307929422056
6,Anthologies Publishing,Publishing,58742,25.88889050731793
7,Apparel,Fashion,364014,9.380184463216064
8,Architecture,Design,38931,8.099651962754908
9,Art Art,Art,365934,12.45793013567832
10,Art Books,Publishing,332250,14.004756104533778
11,Audio,Journalism,22150,15.341086124933687
12,Camera Equipment,Technology,178993,5.31447535677305
13,Candles,Crafts,5027,20.807703130079563
14,Children's Books,Publishing,407807,17.10095775029176
15,Childrenswear,Fashion,19508,11.608369875082918
16,Civic Design,Design,34966,10.55252487265211
17,Classical Music,Music,139958,11.665576045579192
18,Comedy,Film & Video,165959,12.75669160917758
19,Comedy Theater,Theater,4416,11.779210855823152
20,Comic Books,Comics,237407,25.428564720451288
21,Comics Comics,Comics,642514,19.710622523086347
22,Conceptual Art,Art,27542,16.469810413537857
23,Cookbooks,Food,53029,17.19512656993201
24,Country & Folk,Music,294096,13.77360927792749
25,Couture,Fashion,3306,8.702255716284352
26,Crafts Crafts,Crafts,146149,18.15302276161056
27,DIY,Crafts,20356,15.74658962874344
28,DIY Electronics,Technology,223308,11.104114620304257
29,Dance Dance,Dance,106176,12.800838080668456
30,Design Design,Design,749260,10.332865510638522
31,Digital Art,Art,43572,17.2185744981175
32,Documentary,Film & Video,1446054,10.421249620206149
33,Drama,Film & Video,80045,8.581377029520056
34,Drinks,Food,134483,9.128594173445537
35,Electronic Music,Music,96168,17.242589160083288
36,Events,Comics,7897,14.90549281472008
37,Events Food,Food,9593,10.818057492996761
38,Experimental,Theater,16609,14.367700254115126
39,Farms,Food,39186,8.678049986050699
40,Fashion Fashion,Fashion,561899,12.101803083220815
41,Festivals,Theater,19830,12.988965870218173
42,Fiction,Publishing,256463,19.439182536134304
43,Film & Video Film & Video,Film & Video,478645,10.55302567452806
44,Fine Art,Photography,20870,11.124801196817526
45,Food Food,Food,757716,10.830334100348704
46,Food Trucks,Food,34332,10.268342794872067
47,Footwear,Fashion,125976,8.34414064010102
48,Gadgets,Technology,885084,10.12174312609883
49,Games Games,Games,267317,12.719370293128604
50,Gaming Hardware,Games,121129,7.083306950287279
51,Graphic Design,Design,197535,17.895096322717013
52,Graphic Novels,Comics,284525,18.668707975579444
53,Hardware,Technology,1123462,7.2908322191355746
54,Hip-Hop,Music,76169,16.521247235151865
55,Illustration,Art,203021,19.02219373023583
56,Immersive,Theater,14922,9.859734929860664
57,Indie Rock,Music,346124,15.694995190413843
58,Installations,Art,23099,10.578743215629261
59,Interactive Design,Design,18516,8.742971277445891
60,Jazz,Music,106392,12.67759193669214
61,Jewelry,Fashion,31692,9.953957544109665
62,Journalism Journalism,Journalism,79185,14.91140388955322
63,Knitting,Crafts,10990,16.24708219626549
64,Letterpress,Crafts,3372,16.635443964330882
65,Live Games,Games,24330,10.779204981043588
66,Mixed Media,Art,82540,11.737875236702033
67,Mobile Games,Games,36855,15.433098406163158
68,Music Music,Music,862274,13.706693594734663
69,Musical,Theater,41940,9.460506389732934
70,Narrative Film,Film & Video,540187,9.906871545133368
71,Nature,Photography,9287,10.383146142474502
72,Nonfiction,Publishing,381816,15.467682313960221
73,Painting,Art,73142,11.732795623030395
74,People,Photography,30211,13.565294861424919
75,Performance Art,Art,66698,13.378518109179597
76,Performances,Dance,40282,11.925688872028754
77,Periodicals,Publishing,124345,17.35930074198575
78,Pet Fashion,Fashion,3804,10.025132670270775
79,Photo,Journalism,4323,14.294973589019476
80,Photobooks,Photography,118777,10.475354415643254
81,Photography Photography,Photography,227031,11.051879147899395
82,Places,Photography,9167,14.67211433666438
83,Playing Cards,Games,386067,23.15560082730848
84,Plays,Theater,50899,11.874408608130887
85,Poetry,Publishing,33427,19.216849484479127
86,Pop,Music,178935,13.794039827237828
87,Pottery,Crafts,4814,12.57300616320196
88,Print,Journalism,26669,15.909254362377318
89,Printing,Crafts,4419,21.5620581552959
90,Product Design,Design,6060917,9.644415684589415
91,Public Art,Art,189570,13.181084018440632
92,Publishing Publishing,Publishing,344197,15.73944631648924
93,Puzzles,Games,26518,19.04217828847281
94,Radio & Podcasts,Publishing,130652,22.05054556779957
95,Ready-to-wear,Fashion,26044,9.166624809008267
96,Residencies,Dance,2751,12.023306070891088
97,Restaurants,Food,101955,7.846757990661782
98,Rock,Music,332146,14.56454074042006
99,Science Fiction,Film & Video,67631,11.157929267498917
100,Sculpture,Art,79460,9.291880182919353
101,Shorts,Film & Video,452520,10.924759011421319
102,Small Batch,Food,92047,12.962649723272698
103,Software,Technology,208884,17.86544236220071
104,Sound,Technology,238289,5.786005598979568
105,Spaces,Dance,8413,10.223279933454988
106,Spaces Food,Food,29479,9.224582975719978
107,Spaces Theater,Theater,21312,9.304676890270626
108,Stationery,Crafts,10150,27.166114204256456
109,Tabletop Games,Games,6031141,13.037914849597156
110,Technology Technology,Technology,1094336,8.102638853216984
111,Television,Film & Video,75886,8.490497321409547
112,Theater Theater,Theater,342436,12.22869958288939
113,Typography,Design,30751,13.440837773262253
114,Vegan,Food,50071,14.842812801215347
115,Video,Journalism,8038,12.58244018566535
116,Video Games,Games,4411385,20.446204327259647
117,Wearables,Technology,455127,6.805826726111137
118,Weaving,Crafts,3659,7.845717555840484
119,Web,Journalism,40738,13.729429405008275
120,Web Technology,Technology,179442,16.12509542817944
121,Webcomics,Comics,162460,19.846330471522453
122,Webseries,Film & Video,311782,13.363320401092755
123,Woodworking,Crafts,22570,12.156179731848031
124,Workshops,Dance,3390,12.568209414990262
125,World Music,Music,113227,12.853411299184401
126,Art,Total,1154578,13.17745915897466
127,Comics,Total,1453939,20.383715533989477
128,Crafts,Total,231506,16.83816620594516
129,Dance,Total,161012,12.391575265260437
130,Design,Total,7130876,9.842281986357003
131,Fashion,Total,1388135,10.742338360131196
132,Film & Video,Total,3951847,10.79815102492137
133,Food,Total,1301891,10.568370166381323
134,Games,Total,11304742,15.29387107531094
135,Journalism,Total,181103,14.677326494267408
136,Music,Total,2545489,14.026452618662036
137,Photography,Total,426071,11.134353583758648
138,Publishing,Total,2107369,16.585874453876922
139,Technology,Total,4744895,7.829327670368741
140,Theater,Total,512364,11.755856086748295
141,Total,,38595817,11.779514651244623
